
Generic Name,Company Name, Contact Info, Presentation, Type of Update,Date of Update, Availability Information, Related Information, Resolved Note, Reason for Shortage, Therapeutic Category, Status, Change Date, Date Discontinued, Initial Posting Date, Generic Name Note, Generic Name Link , Company Info Link, Availability Link, Related Info Link,   Resolved Note Link, Discontinued Note Link
"Albuterol Sulfate Aerosol, Metered","Sandoz Inc.","800-525-8747","Proventil-hfa, Aerosol, Metered, 108 ug (NDC 66758-959-85)","New","04/13/2023","","","","","Pulmonary/Allergy","To Be Discontinued","04/13/2023","04/13/2023","04/20/2023","","","","","","",""
"Albuterol Sulfate Solution","Nephron Pharmaceuticals Corporation","800-443-4313","Albuterol Sulfate, Solution, 2.5 mg/.5 mL (NDC 0487-9901-30)","Reverified","02/01/2024","Product will be made available as it is released, At least 6 months until it is off allocation","","","Demand increase for the drug","Pulmonary/Allergy; Pediatric","Current","","","10/25/2022","","","","","","",""
"Alclometasone Dipropionate Cream","Sandoz Inc.","800-525-8747","Cream, .5 mg/1 g (NDC 0168-0263-60)","New","11/27/2023","","","","Discontinuation of the manufacture of the drug","Dermatology","To Be Discontinued","","11/27/2023","11/27/2023","","","","","","",""
"Alclometasone Dipropionate Cream","Sandoz Inc.","800-525-8747","Cream, .5 mg/1 g (NDC 0168-0263-45)","New","11/27/2023","","","","Discontinuation of the manufacture of the drug","Dermatology","To Be Discontinued","","11/27/2023","11/27/2023","","","","","","",""
"Alclometasone Dipropionate Cream","Sandoz Inc.","800-525-8747","Cream, .5 mg/1 g (NDC 0168-0263-15)","New","11/27/2023","","","","Discontinuation of the manufacture of the drug","Dermatology","To Be Discontinued","","11/27/2023","11/27/2023","","","","","","",""
"Alprostadil Suppository","Mylan Institutional, a Viatris Company","800-796-9526","Muse, Suppository, 250 ug (NDC 0037-8120-06)","Reverified","03/20/2024","Unavailable","Out of stock; Estimated release dates to be determined","","Delay in shipping of the drug","Urology","Current","","","10/18/2022","","","","","","",""
"Alprostadil Suppository","Mylan Institutional, a Viatris Company","800-796-9526","Muse, Suppository, 500 ug (NDC 0037-8130-06)","Reverified","03/20/2024","Unavailable","Out of stock; Estimated release dates to be determined","","Delay in shipping of the drug","Urology","Current","","","10/18/2022","","","","","","",""
"Alprostadil Suppository","Mylan Institutional, a Viatris Company","800-796-9526","Muse, Suppository, 1000 ug (NDC 0037-8140-06)","Reverified","03/20/2024","Unavailable","Out of stock; Estimated release dates to be determined","","Delay in shipping of the drug","Urology","Current","","","10/18/2022","","","","","","",""
"Amifostine Injection","Clinigen, Inc.","877-776-5385","Ethyol, Injection, 500 mg/10 mL (NDC 76310-017-50)","Revised","02/16/2024","Unavailable","Shortage anticipated from June 2020","","Discontinuation of the manufacture of the drug","Oncology; Other","Current","","","05/21/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-00)","Reverified","04/01/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 15% In Plastic Container, Injection, 0.15 (NDC 0990-7171-17)","Reverified","04/01/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7171-17","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn II 10% In Plastic Container, Injection, 0.1 (NDC 0990-7172-17)","Reverified","04/01/2024","Available","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-7172-17","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 7%, Injection, 0.07 (NDC 0990-4178-03)","Reverified","04/01/2024","Unavailable","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-4178-03","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","ICU Medical, Inc.","1-866-829-9025 or ProductAvailability@icumed.com","Aminosyn-PF 10%, Injection, 0.1 (NDC 0990-4179-05)","Reverified","04/01/2024","Unavailable","ICU Medical acquired these products from Hospira, a Pfizer company. For questions or inquiries regarding these Hospira labeled products, please contact ICU Medical. Legacy Hospira NDC 0409-4179-05","","Shortage of an active ingredient","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-06)","Reverified","03/18/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","B. Braun Medical Inc.","800-227-2862","Plenamine, Injection, 0.15 (NDC 0264-4500-05)","Reverified","04/01/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amino Acid Injection","Baxter Healthcare","888-229-0001","Clinisol 15% Sulfite Free In Plastic Container, Injection, 0.15 (NDC 0338-0502-03)","Reverified","03/18/2024","Available","","","","Gastroenterology","Current","","","12/08/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 50 mg (NDC 0591-5714-01)","Revised","02/06/2024","Available","","","","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 25 mg (NDC 0591-5713-01)","Revised","02/06/2024","Unavailable, Estimated Recovery June 2024","","","Demand increase for the drug","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 100 mg (NDC 0591-5715-01)","Revised","02/06/2024","Available","","","","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxapine Tablet","Teva Pharmaceuticals USA, Inc.","800-545-8800","Amoxapine Tablets, USP, Tablet, 150 mg (NDC 0591-5716-30)","Revised","02/06/2024","Unavailable, Estimated Recovery June 2024","","","Demand increase for the drug","Psychiatry","Current","","","03/09/2020","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 125 mg/5 mL (NDC 65862-706-01)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 200 mg/5 mL (NDC 65862-070-01)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 250 mg/5 mL (NDC 65862-707-01)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Aurobindo Pharma USA","866-850-2876","Powder, For Suspension, 400 mg/5 mL (NDC 65862-071-01)","Reverified","01/15/2024","On allocation.","","","Demand increase for the drug","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 125 mg/5 mL (NDC 0143-9888-01)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 200 mg/5 mL (NDC 0143-9886-01)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 250 mg/5 mL (NDC 0143-9889-01)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Hikma Pharmaceuticals USA, Inc.","800-631-2174","Powder, For Suspension, 400 mg/5 mL (NDC 0143-9887-01)","Reverified","03/28/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 125 mg/5 mL (NDC 0781-6039-46)","Reverified","03/21/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 125 mg/5 mL (NDC 0781-6039-55)","Reverified","03/21/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 125 mg/5 mL (NDC 0781-6039-58)","Reverified","03/21/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 200 mg/5 mL (NDC 0781-6156-46)","Reverified","03/21/2024","Available","","","","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
"Amoxicillin Powder, For Suspension","Sandoz Inc.","800-525-8747","Powder, For Suspension, 200 mg/5 mL (NDC 0781-6156-52)","Reverified","03/21/2024","Limited Availability","Other","","Other","Anti-Infective; Pediatric","Current","","","10/28/2022","","","","","","",""
